Team,xG,xGA
Watford,41,41
Chelsea,75,75
Manchester City,106,106
Arsenal,66,66
Manchester Utd,59,59
Tottenham,73,73
Liverpool,101,101
Southampton,48,48
Swansea City,31,31
Stoke City,36,36
Crystal Palace,50,50
Everton,45,45
West Ham,59,59
West Brom,35,35
Leicester City,53,53
Newcastle Utd,41,41
Sunderland,35,35
Aston Villa,44,44
Hull City,34,34
Burnley,41,41
QPR,47,47
Leeds United,51,51
Wolves,40,40
Brighton,51,51
Fulham,43,43
Sheffield Utd,46,46
Brentford,54,54
Bournemouth,46,46
Nott'ham Forest,52,52
Luton Town,51,51
Norwich City,32,32
Middlesbrough,31,31
Huddersfield,29,29
Cardiff City,42,42
