Team,xG,xGA,Season
Chelsea,68.64,31.52,2014/2015
Manchester City,75.82,40.50,2014/2015
Arsenal,69.80,35.72,2014/2015
Manchester United,54.21,33.84,2014/2015
Tottenham,52.39,57.04,2014/2015
Liverpool,51.70,38.25,2014/2015
Southampton,54.97,39.11,2014/2015
Swansea,40.90,55.94,2014/2015
Stoke,46.26,47.03,2014/2015
Crystal Palace,44.76,45.48,2014/2015
Everton,44.89,46.18,2014/2015
West Ham,46.69,57.40,2014/2015
West Bromwich Albion,38.63,53.75,2014/2015
Leicester,48.21,56.39,2014/2015
Newcastle United,40.22,51.01,2014/2015
Sunderland,37.45,51.46,2014/2015
Aston Villa,33.10,49.71,2014/2015
Hull,32.79,46.99,2014/2015
Burnley,39.37,57.89,2014/2015
Queens Park Rangers,45.73,65.26,2014/2015
Leicester,68.42,45.02,2015/2016
Arsenal,73.53,33.86,2015/2016
Tottenham,63.42,37.08,2015/2016
Manchester City,68.20,37.47,2015/2016
Manchester United,45.42,39.66,2015/2016
Southampton,56.20,44.29,2015/2016
West Ham,54.40,55.48,2015/2016
Liverpool,54.37,37.88,2015/2016
Stoke,42.63,54.35,2015/2016
Chelsea,54.48,44.63,2015/2016
Everton,53.98,54.75,2015/2016
Swansea,39.96,53.63,2015/2016
Watford,43.20,51.85,2015/2016
West Bromwich Albion,39.75,51.94,2015/2016
Crystal Palace,42.51,52.94,2015/2016
Bournemouth,38.71,53.97,2015/2016
Sunderland,40.52,58.85,2015/2016
Newcastle United,37.61,55.42,2015/2016
Norwich,39.19,58.93,2015/2016
Aston Villa,28.53,59.01,2015/2016
Chelsea,61.80,28.62,2016/2017
Tottenham,70.07,33.78,2016/2017
Manchester City,79.85,29.61,2016/2017
Liverpool,68.63,37.65,2016/2017
Arsenal,63.58,47.07,2016/2017
Manchester United,57.57,31.62,2016/2017
Everton,49.63,45.78,2016/2017
Southampton,49.98,43.08,2016/2017
Bournemouth,50.02,62.99,2016/2017
West Bromwich Albion,38.21,47.90,2016/2017
West Ham,48.25,59.67,2016/2017
Leicester,44.34,51.30,2016/2017
Stoke,47.67,48.67,2016/2017
Crystal Palace,45.40,50.03,2016/2017
Swansea,39.50,65.13,2016/2017
Burnley,35.59,55.27,2016/2017
Watford,36.25,52.62,2016/2017
Hull,33.84,71.77,2016/2017
Middlesbrough,30.93,55.30,2016/2017
Sunderland,34.22,65.66,2016/2017
Manchester City,91.43,24.51,2017/2018
Manchester United,59.04,43.64,2017/2018
Tottenham,68.91,35.86,2017/2018
Liverpool,77.49,35.75,2017/2018
Chelsea,59.16,34.03,2017/2018
Arsenal,72.27,48.75,2017/2018
Burnley,32.77,52.16,2017/2018
Everton,43.71,55.50,2017/2018
Leicester,50.29,49.36,2017/2018
Newcastle United,44.63,52.47,2017/2018
Crystal Palace,56.75,53.54,2017/2018
Bournemouth,39.99,64.93,2017/2018
West Ham,36.80,58.37,2017/2018
Watford,45.85,53.98,2017/2018
Brighton,37.21,53.08,2017/2018
Huddersfield,32.13,53.22,2017/2018
Southampton,41.88,46.56,2017/2018
Swansea,29.71,61.83,2017/2018
Stoke,36.75,65.54,2017/2018
West Bromwich Albion,35.18,48.99,2017/2018
Manchester City,93.72,25.73,2018/2019
Liverpool,79.46,29.15,2018/2019
Chelsea,63.97,38.11,2018/2019
Tottenham,61.75,49.15,2018/2019
Arsenal,64.80,57.30,2018/2019
Manchester United,68.62,52.30,2018/2019
