Season,Home Team,Away Team,Home Goals,Away Goals,Home Team ELO,Away Team ELO,Home XG,Away XG,Home XGA,Away XGA,Home Win Percentage,Home Draw Percentage,Away Win Percentage,Away Draw Percentage,Home Team Form,Away Team Form,Home Team Cumulative Points,Away Team Cumulative Points,Winner
2014-2015,Manchester Utd,Swansea City,1,2,1676,1521,54.21,33.84,40.9,55.94,64.5,20.64,29.82,28.95,0.0,0.0,0,0,-1
2014-2015,West Brom,Sunderland,2,2,1485,1520,38.63,37.45,53.75,51.46,24.01,26.97,26.52,25.1,0.0,0.0,0,0,0
2014-2015,Leicester City,Everton,2,2,1462,1692,48.21,44.89,56.39,46.18,27.27,29.22,36.44,28.54,0.0,0.0,0,0,0
2014-2015,West Ham,Tottenham,0,1,1509,1680,46.69,57.4,52.39,57.04,32.51,25.29,39.62,25.83,0.0,0.0,0,0,-1
2014-2015,QPR,Hull City,0,1,1420,1434,45.73,65.26,32.79,46.99,30.42,24.58,21.05,26.32,0.0,0.0,0,0,-1
2014-2015,Stoke City,Aston Villa,0,1,1587,1469,46.26,47.03,33.1,49.71,30.26,29.82,35.73,30.54,0.0,0.0,0,0,-1
2014-2015,Arsenal,Crystal Palace,2,1,1747,1555,69.8,35.72,44.76,45.48,54.25,26.06,25.25,27.78,0.0,0.0,0,0,1
2014-2015,Liverpool,Southampton,2,1,1777,1596,51.7,38.25,54.97,39.11,49.76,25.12,29.9,27.84,0.0,0.0,0,0,1
2014-2015,Newcastle Utd,Manchester City,0,2,1501,1809,40.22,51.01,75.82,40.5,39.45,25.78,39.67,25.08,0.0,0.0,0,0,-1
2014-2015,Burnley,Chelsea,1,3,1403,1764,39.37,57.89,68.64,31.52,21.05,15.79,52.83,25.35,0.0,0.0,0,0,-1
2014-2015,Aston Villa,Newcastle Utd,0,0,1490,1496,33.0,40.0,50.0,51.0,35.81,30.51,39.4,25.75,0.2,0.0,3,0,0
2014-2015,Swansea City,Burnley,1,0,1544,1399,41.0,56.0,39.0,58.0,30.43,28.7,20.51,15.38,0.2,0.0,3,0,1
2014-2015,Crystal Palace,West Ham,1,3,1547,1500,45.0,46.0,47.0,57.0,25.13,27.64,32.47,25.25,0.0,0.0,0,0,-1
2014-2015,Southampton,West Brom,0,0,1588,1487,55.0,38.63,39.0,53.75,29.85,27.79,23.93,27.21,0.0,0.06666666666666667,0,1,0
2014-2015,Chelsea,Leicester City,2,0,1768,1471,69.0,31.0,48.21,56.39,52.89,25.32,27.18,29.45,0.2,0.06666666666666667,3,1,1
2014-2015,Everton,Arsenal,2,2,1683,1755,44.89,70.0,46.18,36.0,36.4,28.62,54.3,26.03,0.06666666666666667,0.2,1,3,0
2014-2015,Tottenham,QPR,4,0,1689,1405,52.0,57.0,46.0,65.0,39.69,25.8,30.29,24.48,0.2,0.0,3,0,1
2014-2015,Hull City,Stoke City,1,1,1449,1566,33.0,46.0,47.0,47.0,21.74,26.09,30.13,29.69,0.2,0.0,3,0,0
2014-2015,Sunderland,Manchester Utd,1,1,1518,1653,37.45,54.0,51.46,34.0,26.46,25.25,64.43,20.61,0.06666666666666667,0.0,1,0,0
2014-2015,Manchester City,Liverpool,3,1,1814,1785,76.0,40.0,52.0,38.0,39.76,25.04,49.82,25.09,0.2,0.2,3,3,1
2014-2015,Burnley,Manchester Utd,0,0,1389,1647,39.0,54.0,58.0,34.0,20.0,15.0,64.35,20.71,0.0,0.06666666666666667,0,1,0
2014-2015,West Ham,Southampton,1,3,1518,1583,47.0,57.0,55.0,39.0,32.56,25.22,29.79,27.91,0.2,0.06666666666666667,3,1,-1
2014-2015,Manchester City,Stoke City,0,1,1829,1561,76.0,40.0,46.0,47.0,39.85,25.0,30.0,30.0,0.4,0.06666666666666667,6,1,-1
