Season,Team,Games,Saves,Goals Conceded,Clean Sheets,Saves per game,Goals Conceded per game,Clean Sheets per game,Saves%,Save Rate
1992-1993,Ipswich Town,42,133,55,12,3.1666666666666665,1.3095238095238095,0.2857142857142857,0.7074468085106383,0.7074468085106383
1992-1993,Chelsea,42,156,54,11,3.7142857142857144,1.2857142857142858,0.2619047619047619,0.7428571428571429,0.7428571428571429
1992-1993,Leeds United,42,123,62,11,2.9285714285714284,1.4761904761904763,0.2619047619047619,0.6648648648648648,0.6648648648648648
1992-1993,Aston Villa,42,149,40,15,3.5476190476190474,0.9523809523809523,0.35714285714285715,0.7883597883597884,0.7883597883597884
1992-1993,Middlesbrough,42,144,75,8,3.4285714285714284,1.7857142857142858,0.19047619047619047,0.6575342465753424,0.6575342465753424
1992-1993,Manchester City,42,137,51,11,3.261904761904762,1.2142857142857142,0.2619047619047619,0.7287234042553191,0.7287234042553191
1992-1993,Nott'ham Forest,42,146,62,9,3.4761904761904763,1.4761904761904763,0.21428571428571427,0.7019230769230769,0.7019230769230769
1992-1993,Southampton,42,151,61,10,3.5952380952380953,1.4523809523809523,0.23809523809523808,0.7122641509433962,0.7122641509433962
1992-1993,Oldham Athletic,42,134,74,3,3.1904761904761907,1.7619047619047619,0.07142857142857142,0.6442307692307693,0.6442307692307693
1992-1993,Coventry City,42,134,57,11,3.1904761904761907,1.3571428571428572,0.2619047619047619,0.7015706806282722,0.7015706806282722
1992-1993,Liverpool,42,136,55,12,3.238095238095238,1.3095238095238095,0.2857142857142857,0.7120418848167539,0.7120418848167539
1992-1993,Norwich City,42,141,65,11,3.357142857142857,1.5476190476190477,0.2619047619047619,0.6844660194174758,0.6844660194174758
1992-1993,Everton,42,141,55,11,3.357142857142857,1.3095238095238095,0.2619047619047619,0.7193877551020408,0.7193877551020408
1992-1993,Sheffield Utd,42,148,53,11,3.5238095238095237,1.2619047619047619,0.2619047619047619,0.736318407960199,0.736318407960199
1992-1993,Crystal Palace,42,140,61,11,3.3333333333333335,1.4523809523809523,0.2619047619047619,0.6965174129353234,0.6965174129353234
1992-1993,Arsenal,42,163,38,16,3.880952380952381,0.9047619047619048,0.38095238095238093,0.8109452736318408,0.8109452736318408
1992-1993,Blackburn,42,138,46,19,3.2857142857142856,1.0952380952380953,0.4523809523809524,0.75,0.75
1992-1993,Sheffield Weds,42,127,51,9,3.0238095238095237,1.2142857142857142,0.21428571428571427,0.7134831460674157,0.7134831460674157
1992-1993,QPR,42,137,55,8,3.261904761904762,1.3095238095238095,0.19047619047619047,0.7135416666666666,0.7135416666666666
1992-1993,Manchester Utd,42,111,31,18,2.642857142857143,0.7380952380952381,0.42857142857142855,0.7816901408450704,0.7816901408450704
1992-1993,Wimbledon,42,133,55,13,3.1666666666666665,1.3095238095238095,0.30952380952380953,0.7074468085106383,0.7074468085106383
1992-1993,Tottenham,42,120,66,10,2.857142857142857,1.5714285714285714,0.23809523809523808,0.6451612903225806,0.6451612903225806
1993-1994,Southampton,42,143.0,65,6.0,3.4047619047619047,1.5476190476190477,0.14285714285714285,0.6875,0.7185929648241206
1993-1994,Ipswich Town,42,189.0,58,14.0,4.5,1.380952380952381,0.3333333333333333,0.7651821862348178,0.7651821862348178
1993-1994,Leeds United,42,147.0,39,18.0,3.5,0.9285714285714286,0.42857142857142855,0.7903225806451613,0.7903225806451613
1993-1994,Aston Villa,42,125.0,50,15.0,2.9761904761904763,1.1904761904761905,0.35714285714285715,0.7142857142857143,0.7142857142857143
1993-1994,Manchester City,42,152.0,49,13.0,3.619047619047619,1.1666666666666667,0.30952380952380953,0.7562189054726368,0.7562189054726368
1993-1994,Swindon Town,42,nan,101,nan,nan,2.4047619047619047,nan,0,0
1993-1994,Blackburn,42,152.0,37,16.0,3.619047619047619,0.8809523809523809,0.38095238095238093,0.8042328042328042,0.7676767676767676
1993-1994,Oldham Athletic,42,154.0,68,7.0,3.6666666666666665,1.619047619047619,0.16666666666666666,0.6936936936936937,0.7
1993-1994,Coventry City,42,153.0,45,14.0,3.642857142857143,1.0714285714285714,0.3333333333333333,0.7727272727272727,0.7727272727272727
1993-1994,Liverpool,42,136.0,55,9.0,3.238095238095238,1.3095238095238095,0.21428571428571427,0.7120418848167539,0.7120418848167539
1993-1994,Norwich City,42,143.0,61,10.0,3.4047619047619047,1.4523809523809523,0.23809523809523808,0.7009803921568627,0.7009803921568627
1993-1994,Chelsea,42,139.0,53,11.0,3.3095238095238093,1.2619047619047619,0.2619047619047619,0.7239583333333334,0.7239583333333334
1993-1994,Newcastle Utd,42,159.0,41,15.0,3.7857142857142856,0.9761904761904762,0.35714285714285715,0.795,0.795
1993-1994,Sheffield Utd,42,132.0,60,13.0,3.142857142857143,1.4285714285714286,0.30952380952380953,0.6875,0.6875
1993-1994,West Ham,42,135.0,58,8.0,3.2142857142857144,1.380952380952381,0.19047619047619047,0.6994818652849741,0.6994818652849741
1993-1994,Arsenal,42,120.0,28,21.0,2.857142857142857,0.6666666666666666,0.5,0.8108108108108109,0.8108108108108109
1993-1994,Sheffield Weds,42,140.0,54,10.0,3.3333333333333335,1.2857142857142858,0.23809523809523808,0.7216494845360825,0.7216494845360825
1993-1994,QPR,42,135.0,61,10.0,3.2142857142857144,1.4523809523809523,0.23809523809523808,0.6887755102040817,0.6887755102040817
1993-1994,Manchester Utd,42,114.0,38,16.0,2.7142857142857144,0.9047619047619048,0.38095238095238093,0.75,0.7307692307692307
1993-1994,Wimbledon,42,116.0,53,12.0,2.761904761904762,1.2619047619047619,0.2857142857142857,0.6863905325443787,0.6863905325443787
1993-1994,Everton,42,163.0,63,10.0,3.880952380952381,1.5,0.23809523809523808,0.7212389380530974,0.7212389380530974
1993-1994,Tottenham,42,113.0,59,9.0,2.6904761904761907,1.4047619047619047,0.21428571428571427,0.6569767441860465,0.6569767441860465
1994-1995,Ipswich Town,42,192.0,93.0,3.0,4.571428571428571,2.2142857142857144,0.07142857142857142,0.6736842105263158,0.6736842105263158
1994-1995,Arsenal,42,141.0,49.0,13.0,3.357142857142857,1.1666666666666667,0.30952380952380953,0.7421052631578947,0.7421052631578947
1994-1995,Southampton,42,159.0,63.0,9.0,3.7857142857142856,1.5,0.21428571428571427,0.7162162162162162,0.7162162162162162
1994-1995,Aston Villa,42,141.0,56.0,11.0,3.357142857142857,1.3333333333333333,0.2619047619047619,0.7157360406091371,0.7157360406091371
1994-1995,Manchester City,42,nan,73.0,10.0,nan,1.7380952380952381,0.23809523809523808,0,0
1994-1995,Nott'ham Forest,42,126.0,43.0,13.0,3.0,1.0238095238095237,0.30952380952380953,0.7455621301775148,0.7455621301775148
