Season,Team,Games,Goals,G+A,Penalties,Avg Goals per Game,Avg G+A per Game,Avg Penalties per Game
1992-1993,Oldham Athletic,42,51,81,1.0,1.2142857142857142,1.9285714285714286,0.023809523809523808
1992-1993,QPR,42,54,82,1.0,1.2857142857142858,1.9523809523809523,0.023809523809523808
1992-1993,Tottenham,42,55,94,nan,1.3095238095238095,2.238095238095238,nan
1992-1993,Chelsea,42,43,79,1.0,1.0238095238095237,1.880952380952381,0.023809523809523808
1992-1993,Wimbledon,42,53,80,2.0,1.2619047619047619,1.9047619047619047,0.047619047619047616
1992-1993,Crystal Palace,42,31,53,0.0,0.7380952380952381,1.2619047619047619,0.0
1992-1993,Coventry City,42,47,75,nan,1.119047619047619,1.7857142857142858,nan
1992-1993,Blackburn,42,58,100,3.0,1.380952380952381,2.380952380952381,0.07142857142857142
1992-1993,Aston Villa,42,50,85,2.0,1.1904761904761905,2.0238095238095237,0.047619047619047616
1992-1993,Southampton,42,40,64,2.0,0.9523809523809523,1.5238095238095237,0.047619047619047616
1992-1993,Nott'ham Forest,42,39,64,nan,0.9285714285714286,1.5238095238095237,nan
1992-1993,Everton,42,45,70,4.0,1.0714285714285714,1.6666666666666667,0.09523809523809523
1992-1993,Liverpool,42,57,97,nan,1.3571428571428572,2.3095238095238093,nan
1992-1993,Sheffield Weds,42,49,79,3.0,1.1666666666666667,1.880952380952381,0.07142857142857142
1992-1993,Leeds United,42,49,83,nan,1.1666666666666667,1.9761904761904763,nan
1992-1993,Norwich City,42,52,85,2.0,1.2380952380952381,2.0238095238095237,0.047619047619047616
1992-1993,Manchester Utd,42,54,93,nan,1.2857142857142858,2.2142857142857144,nan
1992-1993,Ipswich Town,42,44,72,4.0,1.0476190476190477,1.7142857142857142,0.09523809523809523
1992-1993,Sheffield Utd,42,47,76,1.0,1.119047619047619,1.8095238095238095,0.023809523809523808
1992-1993,Arsenal,42,36,62,0.0,0.8571428571428571,1.4761904761904763,0.0
1992-1993,Middlesbrough,42,42,72,0.0,1.0,1.7142857142857142,0.0
1992-1993,Manchester City,42,47,78,0.0,1.119047619047619,1.8571428571428572,0.0
1993-1994,Norwich City,42,54,93,nan,1.2857142857142858,2.2142857142857144,nan
1993-1994,Oldham Athletic,42,32,51,1.0,0.7619047619047619,1.2142857142857142,0.023809523809523808
1993-1994,Swindon Town,42,32,51,2.0,0.7619047619047619,1.2142857142857142,0.047619047619047616
1993-1994,QPR,42,52,86,2.0,1.2380952380952381,2.0476190476190474,0.047619047619047616
1993-1994,West Ham,42,40,69,2.0,0.9523809523809523,1.6428571428571428,0.047619047619047616
1993-1994,Newcastle Utd,42,80,136,nan,1.9047619047619047,3.238095238095238,nan
1993-1994,Southampton,42,43,68,7.0,1.0238095238095237,1.619047619047619,0.16666666666666666
1993-1994,Tottenham,42,52,83,2.0,1.2380952380952381,1.9761904761904763,0.047619047619047616
1993-1994,Everton,42,40,58,nan,0.9523809523809523,1.380952380952381,nan
1993-1994,Wimbledon,42,50,74,1.0,1.1904761904761905,1.7619047619047619,0.023809523809523808
1993-1994,Coventry City,42,38,63,3.0,0.9047619047619048,1.5,0.07142857142857142
1993-1994,Blackburn,42,57,98,3.0,1.3571428571428572,2.3333333333333335,0.07142857142857142
1993-1994,Aston Villa,42,42,71,3.0,1.0,1.6904761904761905,0.07142857142857142
1993-1994,Chelsea,42,46,80,3.0,1.0952380952380953,1.9047619047619047,0.07142857142857142
1993-1994,Liverpool,42,47,66,nan,1.119047619047619,1.5714285714285714,nan
1993-1994,Sheffield Weds,42,67,113,2.0,1.5952380952380953,2.6904761904761907,0.047619047619047616
1993-1994,Leeds United,42,57,95,nan,1.3571428571428572,2.261904761904762,nan
1993-1994,Manchester City,42,33,54,nan,0.7857142857142857,1.2857142857142858,nan
1993-1994,Sheffield Utd,42,37,59,0.0,0.8809523809523809,1.4047619047619047,0.0
1993-1994,Manchester Utd,42,74,128,3.0,1.7619047619047619,3.0476190476190474,0.07142857142857142
1993-1994,Arsenal,42,49,77,4.0,1.1666666666666667,1.8333333333333333,0.09523809523809523
1993-1994,Ipswich Town,42,28,43,2.0,0.6666666666666666,1.0238095238095237,0.047619047619047616
1994-1995,Norwich City,42,25,41,1.0,0.5952380952380952,0.9761904761904762,0.023809523809523808
1994-1995,Leicester City,42,38,61,0.0,0.9047619047619048,1.4523809523809523,0.0
1994-1995,QPR,42,54,97,nan,1.2857142857142858,2.3095238095238093,nan
1994-1995,Newcastle Utd,42,56,90,nan,1.3333333333333333,2.142857142857143,nan
1994-1995,West Ham,42,38,65,0.0,0.9047619047619048,1.5476190476190477,0.0
1994-1995,Southampton,42,51,85,nan,1.2142857142857142,2.0238095238095237,nan
1994-1995,Everton,42,33,49,0.0,0.7857142857142857,1.1666666666666667,0.0
1994-1995,Tottenham,42,60,103,2.0,1.4285714285714286,2.4523809523809526,0.047619047619047616
1994-1995,Wimbledon,42,39,60,2.0,0.9285714285714286,1.4285714285714286,0.047619047619047616
1994-1995,Crystal Palace,42,29,48,nan,0.6904761904761905,1.1428571428571428,nan
1994-1995,Sheffield Weds,42,42,68,nan,1.0,1.619047619047619,nan
1994-1995,Blackburn,42,69,109,10.0,1.6428571428571428,2.5952380952380953,0.23809523809523808
1994-1995,Aston Villa,42,44,75,nan,1.0476190476190477,1.7857142857142858,nan
1994-1995,Liverpool,42,56,89,nan,1.3333333333333333,2.119047619047619,nan
1994-1995,Manchester City,42,50,81,1.0,1.1904761904761905,1.9285714285714286,0.023809523809523808
1994-1995,Manchester Utd,42,69,112,nan,1.6428571428571428,2.6666666666666665,nan
1994-1995,Nott'ham Forest,42,61,106,1.0,1.4523809523809523,2.5238095238095237,0.023809523809523808
1994-1995,Coventry City,42,39,63,5.0,0.9285714285714286,1.5,0.11904761904761904
1994-1995,Chelsea,42,45,77,1.0,1.0714285714285714,1.8333333333333333,0.023809523809523808
1994-1995,Arsenal,42,45,70,3.0,1.0714285714285714,1.6666666666666667,0.07142857142857142
1994-1995,Ipswich Town,42,29,45,3.0,0.6904761904761905,1.0714285714285714,0.07142857142857142
1994-1995,Leeds United,42,53,87,3.0,1.2619047619047619,2.0714285714285716,0.07142857142857142
1995-1996,Middlesbrough,38,27,48,3.0,0.7105263157894737,1.263157894736842,0.07894736842105263
1995-1996,QPR,38,34,56,nan,0.8947368421052632,1.4736842105263157,nan
1995-1996,Nott'ham Forest,38,40,72,nan,1.0526315789473684,1.894736842105263,nan
1995-1996,West Ham,38,30,48,nan,0.7894736842105263,1.263157894736842,nan
1995-1996,Everton,38,55,89,0.0,1.4473684210526316,2.3421052631578947,0.0
1995-1996,Tottenham,38,47,74,nan,1.236842105263158,1.9473684210526316,nan
1995-1996,Wimbledon,38,53,80,2.0,1.394736842105263,2.1052631578947367,0.05263157894736842
1995-1996,Newcastle Utd,38,61,107,nan,1.605263157894737,2.8157894736842106,nan
1995-1996,Sheffield Weds,38,46,80,nan,1.2105263157894737,2.1052631578947367,nan
1995-1996,Blackburn,38,56,95,nan,1.4736842105263157,2.5,nan
1995-1996,Liverpool,38,60,110,nan,1.5789473684210527,2.8947368421052633,nan
1995-1996,Coventry City,38,36,63,nan,0.9473684210526315,1.6578947368421053,nan
1995-1996,Manchester City,38,31,55,nan,0.8157894736842105,1.4473684210526316,nan
1995-1996,Manchester Utd,38,68,110,4.0,1.7894736842105263,2.8947368421052633,0.10526315789473684
1995-1996,Southampton,38,27,40,4.0,0.7105263157894737,1.0526315789473684,0.10526315789473684
1995-1996,Arsenal,38,43,72,3.0,1.131578947368421,1.894736842105263,0.07894736842105263
1995-1996,Bolton,38,24,49,nan,0.631578947368421,1.2894736842105263,nan
1995-1996,Leeds United,38,33,55,nan,0.868421052631579,1.4473684210526316,nan
1995-1996,Chelsea,38,40,64,3.0,1.0526315789473684,1.6842105263157894,0.07894736842105263
1995-1996,Aston Villa,38,42,74,nan,1.105263157894737,1.9473684210526316,nan
1996-1997,Middlesbrough,38,49,81,5.0,1.2894736842105263,2.1315789473684212,0.13157894736842105
1996-1997,Sunderland,38,29,49,3.0,0.7631578947368421,1.2894736842105263,0.07894736842105263
1996-1997,Nott'ham Forest,38,23,40,0.0,0.6052631578947368,1.0526315789473684,0.0
1996-1997,Tottenham,38,42,66,1.0,1.105263157894737,1.736842105263158,0.02631578947368421
1996-1997,Arsenal,38,56,91,8.0,1.4736842105263157,2.3947368421052633,0.21052631578947367
1996-1997,Wimbledon,38,47,73,0.0,1.236842105263158,1.9210526315789473,0.0
1996-1997,Derby County,38,35,48,3.0,0.9210526315789473,1.263157894736842,0.07894736842105263
1996-1997,Newcastle Utd,38,61,100,5.0,1.605263157894737,2.6315789473684212,0.13157894736842105
1996-1997,Sheffield Weds,38,46,77,2.0,1.2105263157894737,2.026315789473684,0.05263157894736842
1996-1997,Everton,38,35,57,2.0,0.9210526315789473,1.5,0.05263157894736842
1996-1997,Liverpool,38,56,89,nan,1.4736842105263157,2.3421052631578947,nan
1996-1997,Southampton,38,44,62,6.0,1.1578947368421053,1.631578947368421,0.15789473684210525
1996-1997,Blackburn,38,38,64,2.0,1.0,1.6842105263157894,0.05263157894736842
1996-1997,Manchester Utd,38,63,107,4.0,1.6578947368421053,2.8157894736842106,0.10526315789473684
1996-1997,West Ham,38,24,45,0.0,0.631578947368421,1.1842105263157894,0.0
1996-1997,Leeds United,38,22,39,0.0,0.5789473684210527,1.0263157894736843,0.0
1996-1997,Coventry City,38,32,52,3.0,0.8421052631578947,1.368421052631579,0.07894736842105263
1996-1997,Chelsea,38,40,67,1.0,1.0526315789473684,1.763157894736842,0.02631578947368421
1996-1997,Leicester City,38,38,63,3.0,1.0,1.6578947368421053,0.07894736842105263
1996-1997,Aston Villa,38,40,63,4.0,1.0526315789473684,1.6578947368421053,0.10526315789473684
1997-1998,West Ham,38,50,83,1.0,1.3157894736842106,2.1842105263157894,0.02631578947368421
1997-1998,Barnsley,38,36,56,3.0,0.9473684210526315,1.4736842105263157,0.07894736842105263
1997-1998,Sheffield Weds,38,47,72,3.0,1.236842105263158,1.894736842105263,0.07894736842105263
1997-1998,Tottenham,38,37,76,0.0,0.9736842105263158,2.0,0.0
1997-1998,Blackburn,38,54,87,2.0,1.4210526315789473,2.289473684210526,0.05263157894736842
1997-1998,Newcastle Utd,38,29,46,nan,0.7631578947368421,1.2105263157894737,nan
1997-1998,Chelsea,38,54,83,3.0,1.4210526315789473,2.1842105263157894,0.07894736842105263
1997-1998,Arsenal,38,61,105,5.0,1.605263157894737,2.763157894736842,0.13157894736842105
1997-1998,Wimbledon,38,32,49,1.0,0.8421052631578947,1.2894736842105263,0.02631578947368421
1997-1998,Derby County,38,46,69,6.0,1.2105263157894737,1.8157894736842106,0.15789473684210525
1997-1998,Everton,38,36,57,nan,0.9473684210526315,1.5,nan
1997-1998,Aston Villa,38,46,71,3.0,1.2105263157894737,1.868421052631579,0.07894736842105263
1997-1998,Southampton,38,45,69,5.0,1.1842105263157894,1.8157894736842106,0.13157894736842105
1997-1998,Bolton,38,37,63,3.0,0.9736842105263158,1.6578947368421053,0.07894736842105263
1997-1998,Manchester Utd,38,63,114,1.0,1.6578947368421053,3.0,0.02631578947368421
1997-1998,Crystal Palace,38,35,61,1.0,0.9210526315789473,1.605263157894737,0.02631578947368421
1997-1998,Liverpool,38,68,107,nan,1.7894736842105263,2.8157894736842106,nan
1997-1998,Coventry City,38,44,67,5.0,1.1578947368421053,1.763157894736842,0.13157894736842105
1997-1998,Leeds United,38,46,69,1.0,1.2105263157894737,1.8157894736842106,0.02631578947368421
1997-1998,Leicester City,38,40,67,3.0,1.0526315789473684,1.763157894736842,0.07894736842105263
1998-1999,West Ham,38,41,73,nan,1.0789473684210527,1.9210526315789473,nan
1998-1999,Sheffield Weds,38,38,59,1.0,1.0,1.5526315789473684,0.02631578947368421
1998-1999,Wimbledon,38,41,63,nan,1.0789473684210527,1.6578947368421053,nan
1998-1999,Tottenham,38,42,72,2.0,1.105263157894737,1.894736842105263,0.05263157894736842
1998-1999,Nott'ham Forest,38,27,48,nan,0.7105263157894737,1.263157894736842,nan
1998-1999,Coventry City,38,39,68,nan,1.0263157894736843,1.7894736842105263,nan
1998-1999,Newcastle Utd,38,43,63,nan,1.131578947368421,1.6578947368421053,nan
1998-1999,Chelsea,38,48,77,0.0,1.263157894736842,2.026315789473684,0.0
1998-1999,Arsenal,38,57,96,2.0,1.5,2.526315789473684,0.05263157894736842
1998-1999,Middlesbrough,38,40,65,nan,1.0526315789473684,1.7105263157894737,nan
1998-1999,Derby County,38,31,54,nan,0.8157894736842105,1.4210526315789473,nan
1998-1999,Everton,38,39,58,nan,1.0263157894736843,1.5263157894736843,nan
1998-1999,Charlton Ath,38,33,44,4.0,0.868421052631579,1.1578947368421053,0.10526315789473684
1998-1999,Aston Villa,38,46,78,nan,1.2105263157894737,2.0526315789473686,nan
1998-1999,Southampton,38,35,57,1.0,0.9210526315789473,1.5,0.02631578947368421
1998-1999,Leeds United,38,51,88,1.0,1.3421052631578947,2.3157894736842106,0.02631578947368421
1998-1999,Manchester Utd,38,71,118,0.0,1.868421052631579,3.1052631578947367,0.0
1998-1999,Liverpool,38,68,108,7.0,1.7894736842105263,2.8421052631578947,0.18421052631578946
1998-1999,Blackburn,38,35,55,nan,0.9210526315789473,1.4473684210526316,nan
1998-1999,Leicester City,38,31,55,1.0,0.8157894736842105,1.4473684210526316,0.02631578947368421
1999-2000,Wimbledon,38,42,65,1.0,1.105263157894737,1.7105263157894737,0.02631578947368421
1999-2000,Sheffield Weds,38,35,59,4.0,0.9210526315789473,1.5526315789473684,0.10526315789473684
1999-2000,Coventry City,38,45,74,5.0,1.1842105263157894,1.9473684210526316,0.13157894736842105
1999-2000,Chelsea,38,38,66,0.0,1.0,1.736842105263158,0.0
1999-2000,Tottenham,38,49,80,1.0,1.2894736842105263,2.1052631578947367,0.02631578947368421
1999-2000,Middlesbrough,38,40,61,6.0,1.0526315789473684,1.605263157894737,0.15789473684210525
1999-2000,Derby County,38,39,62,2.0,1.0263157894736843,1.631578947368421,0.05263157894736842
1999-2000,Watford,38,31,52,2.0,0.8157894736842105,1.368421052631579,0.05263157894736842
1999-2000,Leeds United,38,48,77,0.0,1.263157894736842,2.026315789473684,0.0
1999-2000,Sunderland,38,55,91,6.0,1.4473684210526316,2.3947368421052633,0.15789473684210525
1999-2000,Everton,38,47,84,0.0,1.236842105263158,2.210526315789474,0.0
1999-2000,Arsenal,38,64,110,3.0,1.6842105263157894,2.8947368421052633,0.07894736842105263
1999-2000,Aston Villa,38,40,71,1.0,1.0526315789473684,1.868421052631579,0.02631578947368421
1999-2000,Bradford City,38,34,52,5.0,0.8947368421052632,1.368421052631579,0.13157894736842105
1999-2000,Southampton,38,40,69,1.0,1.0526315789473684,1.8157894736842106,0.02631578947368421
1999-2000,Manchester Utd,38,90,149,1.0,2.3684210526315788,3.9210526315789473,0.02631578947368421
1999-2000,Liverpool,38,48,79,nan,1.263157894736842,2.0789473684210527,nan
1999-2000,West Ham,38,49,89,2.0,1.2894736842105263,2.3421052631578947,0.05263157894736842
1999-2000,Leicester City,38,40,70,nan,1.0526315789473684,1.8421052631578947,nan
1999-2000,Newcastle Utd,38,48,85,6.0,1.263157894736842,2.236842105263158,0.15789473684210525
2000-2001,Ipswich Town,38,46,75,3.0,1.2105263157894737,1.9736842105263157,0.07894736842105263
2000-2001,Newcastle Utd,38,40,67,5.0,1.0526315789473684,1.763157894736842,0.13157894736842105
2000-2001,Leicester City,38,31,49,3.0,0.8157894736842105,1.2894736842105263,0.07894736842105263
2000-2001,Chelsea,38,66,111,4.0,1.736842105263158,2.9210526315789473,0.10526315789473684
2000-2001,Everton,38,36,54,0.0,0.9473684210526315,1.4210526315789473,0.0
2000-2001,Manchester City,38,29,50,2.0,0.7631578947368421,1.3157894736842106,0.05263157894736842
2000-2001,Coventry City,38,31,48,3.0,0.8157894736842105,1.263157894736842,0.07894736842105263
2000-2001,Tottenham,38,42,70,3.0,1.105263157894737,1.8421052631578947,0.07894736842105263
