Home Team,Away Team,Home Team ELO,Away Team ELO,Home Team Win Percentage,Home Team Draw Percentage,Away Team Win Percentage,Away Team Draw Percentage,Winner
Coventry City,Middlesbrough,1516,1484,0,0,0,0,1
Leeds United,Wimbledon,1516,1484,0,0,0,0,1
Sheffield Utd,Manchester Utd,1516,1484,0,0,0,0,1
Crystal Palace,Blackburn,1500,1500,0,0,0,0,0
Arsenal,Norwich City,1484,1516,0,0,0,0,-1
Ipswich Town,Aston Villa,1500,1500,0,0,0,0,0
Everton,Sheffield Weds,1500,1500,0,0,0,0,0
Southampton,Tottenham,1500,1500,0,0,0,0,0
Chelsea,Oldham Athletic,1500,1500,0,0,0,0,0
Nott'ham Forest,Liverpool,1516,1484,0,0,0,0,1
Manchester City,QPR,1500,1500,0,0,0,0,0
Blackburn,Arsenal,1515,1469,0.0,100.0,0.0,0.0,1
Wimbledon,Ipswich Town,1469,1515,0.0,0.0,0.0,100.0,-1
Tottenham,Coventry City,1485,1531,0.0,100.0,100.0,0.0,-1
Liverpool,Sheffield Utd,1501,1499,0.0,0.0,100.0,0.0,1
Aston Villa,Leeds United,1501,1515,0.0,100.0,100.0,0.0,0
Oldham Athletic,Crystal Palace,1500,1500,0.0,100.0,0.0,100.0,0
Middlesbrough,Manchester City,1501,1483,0.0,0.0,0.0,100.0,1
Norwich City,Chelsea,1531,1485,100.0,0.0,0.0,100.0,1
QPR,Southampton,1516,1484,0.0,100.0,0.0,100.0,1
Manchester Utd,Everton,1469,1515,0.0,0.0,0.0,100.0,-1
Sheffield Weds,Nott'ham Forest,1517,1499,0.0,100.0,100.0,0.0,1
Tottenham,Crystal Palace,1486,1499,0.0,50.0,0.0,100.0,0
Wimbledon,Coventry City,1456,1544,0.0,0.0,100.0,0.0,-1
Blackburn,Manchester City,1530,1468,50.0,50.0,0.0,50.0,1
Norwich City,Everton,1530,1516,100.0,0.0,50.0,50.0,0
Sheffield Weds,Chelsea,1516,1486,50.0,50.0,0.0,50.0,0
Manchester Utd,Ipswich Town,1471,1513,0.0,0.0,50.0,50.0,0
Aston Villa,Southampton,1500,1485,0.0,100.0,0.0,50.0,0
Middlesbrough,Leeds United,1518,1498,50.0,0.0,50.0,50.0,1
QPR,Sheffield Utd,1531,1484,50.0,50.0,50.0,0.0,1
Oldham Athletic,Nott'ham Forest,1516,1483,0.0,100.0,50.0,0.0,1
Liverpool,Arsenal,1484,1486,50.0,0.0,0.0,0.0,-1
Southampton,Manchester Utd,1468,1488,0.0,66.67,0.0,33.33,-1
Sheffield Utd,Wimbledon,1483,1457,33.33,0.0,0.0,0.0,0
Ipswich Town,Liverpool,1512,1485,33.33,66.67,33.33,0.0,0
Crystal Palace,Sheffield Weds,1500,1515,0.0,100.0,33.33,66.67,0
Leeds United,Tottenham,1513,1471,33.33,33.33,0.0,66.67,1
Everton,Aston Villa,1531,1485,33.33,66.67,0.0,100.0,1
Manchester City,Norwich City,1487,1511,0.0,33.33,66.67,33.33,1
Arsenal,Oldham Athletic,1503,1499,33.33,0.0,33.33,66.67,1
Coventry City,QPR,1527,1548,100.0,0.0,66.67,33.33,-1
Chelsea,Blackburn,1488,1528,0.0,66.67,66.67,33.33,0
Sheffield Utd,Aston Villa,1467,1501,25.0,25.0,0.0,75.0,-1
Nott'ham Forest,Manchester Utd,1467,1504,33.33,0.0,25.0,25.0,-1
Southampton,Middlesbrough,1486,1500,0.0,50.0,66.67,0.0,1
Crystal Palace,Norwich City,1485,1526,0.0,100.0,50.0,25.0,-1
Manchester City,Oldham Athletic,1488,1498,25.0,25.0,25.0,50.0,0
Chelsea,QPR,1507,1529,0.0,75.0,75.0,25.0,1
Arsenal,Sheffield Weds,1520,1498,50.0,0.0,25.0,75.0,1
Coventry City,Blackburn,1511,1544,75.0,0.0,50.0,50.0,-1
Everton,Wimbledon,1528,1460,50.0,50.0,0.0,25.0,0
Leeds United,Liverpool,1512,1486,50.0,25.0,25.0,25.0,0
Ipswich Town,Tottenham,1510,1473,25.0,75.0,0.0,50.0,0
Norwich City,Nott'ham Forest,1539,1454,60.0,20.0,25.0,0.0,1
Middlesbrough,Ipswich Town,1500,1510,50.0,0.0,20.0,80.0,0
Wimbledon,Manchester City,1445,1503,0.0,40.0,20.0,40.0,-1
Liverpool,Southampton,1486,1486,20.0,40.0,20.0,40.0,0
Oldham Athletic,Leeds United,1499,1511,20.0,60.0,40.0,40.0,0
Manchester Utd,Crystal Palace,1519,1470,40.0,20.0,0.0,80.0,1
Sheffield Weds,Coventry City,1483,1526,20.0,60.0,60.0,0.0,-1
QPR,Arsenal,1529,1520,60.0,20.0,60.0,0.0,0
Tottenham,Sheffield Utd,1489,1451,0.0,60.0,20.0,20.0,1
Aston Villa,Chelsea,1485,1523,20.0,60.0,20.0,60.0,-1
Norwich City,Southampton,1553,1472,66.67,16.67,16.67,50.0,1
Oldham Athletic,Coventry City,1484,1541,16.67,66.67,66.67,0.0,-1
Sheffield Weds,Manchester City,1468,1518,16.67,50.0,33.33,33.33,-1
Wimbledon,Arsenal,1464,1501,0.0,33.33,50.0,16.67,1
Middlesbrough,Sheffield Utd,1514,1437,40.0,20.0,16.67,16.67,1
QPR,Ipswich Town,1528,1511,50.0,33.33,16.67,83.33,0
Blackburn,Nott'ham Forest,1556,1442,60.0,40.0,20.0,0.0,1
Aston Villa,Crystal Palace,1500,1455,16.67,50.0,0.0,66.67,1
Tottenham,Everton,1507,1510,16.67,50.0,40.0,60.0,1
Liverpool,Chelsea,1504,1505,16.67,50.0,33.33,50.0,1
Manchester Utd,Leeds United,1535,1495,50.0,16.67,33.33,50.0,1
Crystal Palace,Oldham Athletic,1456,1483,0.0,57.14,14.29,57.14,0
Manchester City,Middlesbrough,1502,1530,42.86,28.57,50.0,16.67,-1
Everton,Manchester Utd,1495,1550,33.33,50.0,57.14,14.29,-1
Chelsea,Norwich City,1491,1567,28.57,42.86,71.43,14.29,-1
Southampton,QPR,1459,1541,14.29,42.86,42.86,42.86,-1
Ipswich Town,Wimbledon,1525,1450,14.29,85.71,14.29,28.57,1
Arsenal,Blackburn,1488,1569,42.86,14.29,66.67,33.33,-1
Sheffield Utd,Liverpool,1456,1485,14.29,14.29,28.57,42.86,1
Nott'ham Forest,Sheffield Weds,1427,1483,16.67,0.0,14.29,42.86,-1
Leeds United,Aston Villa,1495,1500,28.57,42.86,28.57,42.86,0
Coventry City,Tottenham,1555,1493,71.43,0.0,28.57,42.86,1
Blackburn,Everton,1550,1514,71.43,28.57,28.57,42.86,-1
Wimbledon,Blackburn,1454,1546,12.5,25.0,62.5,25.0,0
Tottenham,Manchester Utd,1496,1547,25.0,37.5,62.5,12.5,0
Norwich City,Sheffield Weds,1579,1471,75.0,12.5,25.0,37.5,1
Aston Villa,Liverpool,1515,1470,25.0,50.0,25.0,37.5,1
Oldham Athletic,Ipswich Town,1501,1507,12.5,62.5,25.0,75.0,1
Sheffield Utd,Arsenal,1457,1487,25.0,12.5,37.5,12.5,0
QPR,Middlesbrough,1540,1531,50.0,37.5,57.14,14.29,0
Everton,Crystal Palace,1495,1475,37.5,37.5,0.0,62.5,-1
Southampton,Leeds United,1461,1493,12.5,37.5,25.0,50.0,0
Manchester City,Chelsea,1485,1508,37.5,25.0,25.0,37.5,-1
Nott'ham Forest,Coventry City,1433,1549,14.29,0.0,75.0,0.0,0
Blackburn,Oldham Athletic,1560,1487,55.56,33.33,22.22,55.56,1
Manchester Utd,QPR,1547,1540,55.56,22.22,44.44,44.44,0
Ipswich Town,Sheffield Utd,1505,1459,22.22,66.67,22.22,22.22,0
Liverpool,Wimbledon,1453,1471,22.22,33.33,11.11,33.33,-1
Leeds United,Everton,1509,1479,22.22,55.56,33.33,33.33,1
Middlesbrough,Aston Villa,1514,1532,50.0,25.0,33.33,44.44,-1
Chelsea,Nott'ham Forest,1505,1436,33.33,33.33,12.5,12.5,0
Crystal Palace,Southampton,1458,1478,11.11,55.56,11.11,44.44,-1
Coventry City,Norwich City,1550,1578,66.67,11.11,77.78,11.11,0
Sheffield Weds,Tottenham,1488,1479,22.22,33.33,22.22,44.44,1
Arsenal,Manchester City,1503,1469,33.33,22.22,33.33,22.22,1
Manchester City,Nott'ham Forest,1467,1438,30.0,20.0,11.11,22.22,0
Middlesbrough,Manchester Utd,1516,1545,44.44,22.22,50.0,30.0,0
Arsenal,Chelsea,1519,1489,40.0,20.0,30.0,40.0,1
Sheffield Utd,Southampton,1476,1461,20.0,30.0,20.0,40.0,1
Coventry City,Crystal Palace,1546,1462,60.0,20.0,10.0,50.0,0
Wimbledon,Aston Villa,1458,1545,20.0,30.0,40.0,40.0,-1
QPR,Tottenham,1553,1466,40.0,50.0,20.0,40.0,1
Liverpool,Sheffield Weds,1471,1470,20.0,30.0,30.0,30.0,1
Ipswich Town,Leeds United,1521,1493,20.0,70.0,30.0,50.0,1
Blackburn,Norwich City,1577,1561,60.0,30.0,70.0,20.0,1
Oldham Athletic,Everton,1503,1463,20.0,50.0,30.0,30.0,1
Leeds United,Sheffield Utd,1508,1461,27.27,45.45,27.27,27.27,1
Everton,Coventry City,1467,1542,27.27,27.27,54.55,27.27,0
Crystal Palace,Manchester City,1462,1467,9.09,54.55,27.27,27.27,0
