Season,Home Team,Away Team,Home Goals,Away Goals,Home Team ELO,Away Team ELO,Home XG,Away XG,Home XGA,Away XGA,Home Win Percentage,Home Draw Percentage,Away Win Percentage,Away Draw Percentage,Head2Head Win,Head2Head Draw,Winner
2014-2015,Manchester Utd,Swansea City,1,2,1170,1041,54,41,34,56,64.43,20.61,30.43,28.7,0,0,-1
2014-2015,West Brom,Sunderland,2,2,988,1016,38.63,37.45,53.75,51.46,23.93,27.21,26.46,25.25,0,100,0
2014-2015,Leicester City,Everton,2,2,763,1191,48.21,44.89,56.39,46.18,27.18,29.45,36.4,28.62,0,100,0
2014-2015,West Ham,Tottenham,0,1,1002,1202,47,52,57,57,32.47,25.25,39.69,25.8,0,0,-1
2014-2015,QPR,Hull City,0,1,865,926,46,33,65,47,30.29,24.48,21.74,26.09,0,0,-1
2014-2015,Stoke City,Aston Villa,0,1,1069,994,46,33,47,50,30.13,29.69,35.81,30.51,0,0,-1
2014-2015,Arsenal,Crystal Palace,2,1,1272,991,70,45,36,46,54.3,26.03,25.13,27.64,100,0,1
2014-2015,Liverpool,Southampton,2,1,1297,1090,52,55,38,39,49.82,25.09,29.85,27.79,100,0,1
2014-2015,Newcastle Utd,Manchester City,0,2,1001,1332,40,76,51,40,39.4,25.75,39.76,25.04,0,0,-1
2014-2015,Burnley,Chelsea,1,3,667,1283,39,69,58,31,20.51,15.38,52.89,25.32,0,0,-1
2014-2015,Aston Villa,Newcastle Utd,0,0,994,1001,33,40,50,51,35.76,30.59,39.35,25.84,0,100,0
2014-2015,Swansea City,Burnley,1,0,1044,664,41,39,56,58,31.03,28.45,20.0,15.0,100,0,1
2014-2015,Crystal Palace,West Ham,1,3,976,1017,45,47,46,57,25.0,27.5,32.56,25.22,0,0,-1
2014-2015,Southampton,West Brom,0,0,1085,993,55,38.63,39,53.75,29.79,27.91,23.86,27.45,0,100,0
2014-2015,Chelsea,Leicester City,2,0,1285,761,69,48,31,56,52.94,25.29,27.1,29.35,100,0,1
2014-2015,Everton,Arsenal,2,2,1195,1268,44.89,70,46.18,36,36.35,28.71,54.24,26.12,0,100,0
2014-2015,Tottenham,QPR,4,0,1206,861,53,46,56,65,39.76,25.76,30.17,24.38,100,0,1
2014-2015,Hull City,Stoke City,1,1,932,1063,33,46,47,47,21.55,26.72,30.0,30.0,0,100,0
2014-2015,Sunderland,Manchester Utd,1,1,1023,1163,37.45,54,51.46,34,26.41,25.4,64.35,20.71,0,100,0
2014-2015,Manchester City,Liverpool,3,1,1346,1283,76,52,40,38,39.85,25.0,49.76,25.06,100,0,1
2014-2015,Burnley,Manchester Utd,0,0,678,1149,39,54,58,34,19.51,17.07,64.28,20.8,0,100,0
2014-2015,West Ham,Southampton,1,3,1004,1098,47,55,57,39,32.52,25.18,29.91,27.86,0,0,-1
2014-2015,Manchester City,Stoke City,0,1,1319,1090,76,46,40,47,39.79,24.96,30.3,29.87,0,0,-1
2014-2015,Swansea City,West Brom,3,0,1058,979,41,39,55,54,31.62,28.21,23.78,27.36,100,0,1
2014-2015,Newcastle Utd,Crystal Palace,3,3,1000,977,40,45,51,46,39.3,25.94,24.88,27.86,0,100,0
2014-2015,QPR,Sunderland,1,0,884,1000,46,37,65,51,30.45,24.28,26.36,25.35,100,0,1
2014-2015,Everton,Chelsea,3,6,1183,1297,44,70,47,31,36.31,28.67,53.0,25.26,0,0,-1
2014-2015,Tottenham,Liverpool,0,3,1193,1296,53,52,56,38,39.72,25.73,49.82,25.03,0,0,-1
2014-2015,Aston Villa,Hull City,2,1,1007,919,33,33,50,47,35.84,30.55,21.37,26.5,100,0,1
2014-2015,Leicester City,Arsenal,1,1,775,1254,48,70,56,36,27.01,29.58,54.17,26.2,0,100,0
2014-2015,Arsenal,Manchester City,2,2,1257,1316,70,76,36,40,54.11,26.29,39.73,25.08,0,100,0
2014-2015,Sunderland,Tottenham,2,2,1008,1185,37,53,51,56,26.31,25.5,39.67,25.82,0,100,0
2014-2015,Stoke City,Leicester City,0,1,1062,803,46,48,47,56,30.17,29.74,27.24,29.49,0,0,-1
2014-2015,West Brom,Everton,0,2,971,1191,39,44,54,47,23.7,27.27,36.38,28.64,0,0,-1
2014-2015,Southampton,Newcastle Utd,4,0,1110,988,56,40,38,51,30.03,27.82,39.25,25.91,100,0,1
2014-2015,Crystal Palace,Burnley,0,0,966,689,45,39,46,58,24.75,28.22,19.05,19.05,0,100,0
2014-2015,Chelsea,Swansea City,4,2,1303,1052,70,41,31,55,53.05,25.23,31.36,27.97,100,0,1
2014-2015,Liverpool,Aston Villa,0,1,1269,1034,52,33,38,50,49.77,25.0,35.92,30.52,0,0,-1
2014-2015,Manchester Utd,QPR,4,0,1155,878,55,46,33,65,64.32,20.77,30.33,24.18,100,0,1
2014-2015,Hull City,West Ham,2,2,923,1000,33,47,47,57,21.19,27.12,32.47,25.29,0,100,0
2014-2015,QPR,Stoke City,2,2,886,1054,46,46,65,47,30.2,24.49,30.04,30.04,0,100,0
2014-2015,Burnley,Sunderland,0,0,701,996,39,37,58,51,18.6,20.93,26.25,25.65,0,100,0
2014-2015,Aston Villa,Arsenal,0,3,1027,1264,33,70,50,36,35.87,30.48,54.16,26.26,0,0,-1
2014-2015,Newcastle Utd,Hull City,2,2,985,926,40,33,51,47,39.2,26.0,21.01,27.73,0,100,0
2014-2015,Swansea City,Southampton,0,1,1039,1123,41,56,55,38,31.09,27.73,30.15,27.77,0,0,-1
2014-2015,West Ham,Liverpool,3,1,1026,1243,47,52,57,38,32.57,25.25,49.71,24.97,100,0,1
2014-2015,Leicester City,Manchester Utd,5,3,831,1127,48,55,55,33,27.48,29.39,64.24,20.75,100,0,1
2014-2015,Tottenham,West Brom,0,1,1160,996,53,39,56,54,39.62,25.79,23.95,27.18,0,0,-1
2014-2015,Everton,Crystal Palace,2,3,1166,991,44,45,47,46,36.34,28.6,25.12,28.08,0,0,-1
2014-2015,Manchester City,Chelsea,1,1,1315,1304,76,70,40,31,39.67,25.19,52.99,25.32,0,100,0
2014-2015,Liverpool,Everton,1,1,1240,1169,52,44,38,47,49.65,25.06,36.3,28.69,0,100,0
2014-2015,Manchester Utd,West Ham,2,1,1138,1015,55,47,33,57,64.29,20.73,32.52,25.21,100,0,1
2014-2015,Chelsea,Aston Villa,3,0,1309,1022,70,33,31,50,53.04,25.29,35.83,30.44,100,0,1
2014-2015,Southampton,QPR,2,1,1130,879,56,46,38,65,30.27,27.72,30.08,24.39,100,0,1
2014-2015,Sunderland,Swansea City,0,0,998,1037,37,41,51,55,26.2,25.8,30.83,28.33,0,100,0
2014-2015,Crystal Palace,Leicester City,2,0,1000,822,45,48,46,55,25.49,27.94,27.39,29.3,100,0,1
2014-2015,Hull City,Manchester City,2,4,923,1318,33,76,47,40,20.83,27.5,39.76,25.15,0,0,-1
2014-2015,Arsenal,Tottenham,1,1,1259,1165,70,53,36,56,54.1,26.35,39.58,25.88,0,100,0
2014-2015,West Brom,Burnley,4,0,1001,696,40,39,53,58,24.19,27.1,18.18,20.45,100,0,1
2014-2015,Stoke City,Newcastle Utd,1,0,1067,972,46,40,47,51,30.34,29.91,39.15,25.97,100,0,1
2014-2015,Liverpool,West Brom,2,1,1246,995,52,40,38,53,49.71,25.03,24.12,27.01,100,0,1
2014-2015,Sunderland,Stoke City,3,1,1017,1048,37,46,51,47,26.35,25.75,30.21,29.79,100,0,1
2014-2015,Swansea City,Newcastle Utd,2,2,1034,975,41,40,55,51,30.58,28.93,39.1,26.06,0,100,0
2014-2015,Leicester City,Burnley,2,2,816,702,48,39,55,58,27.3,29.52,17.78,22.22,0,100,0
2014-2015,Hull City,Crystal Palace,2,0,942,981,33,45,47,46,21.49,27.27,25.37,27.8,100,0,1
2014-2015,Aston Villa,Manchester City,0,2,1017,1323,33,76,50,40,35.79,30.41,39.85,25.11,0,0,-1
2014-2015,Manchester Utd,Everton,2,1,1155,1152,55,44,33,47,64.33,20.7,36.26,28.65,100,0,1
2014-2015,Chelsea,Arsenal,2,0,1323,1245,70,70,31,36,53.1,25.26,54.04,26.32,100,0,1
2014-2015,Tottenham,Southampton,1,0,1179,1116,53,56,56,38,39.65,25.85,30.22,27.67,100,0,1
2014-2015,West Ham,QPR,2,0,1025,869,47,46,57,65,32.62,25.18,29.96,24.29,100,0,1
2014-2015,Manchester City,Tottenham,4,1,1333,1169,77,53,40,56,39.94,25.08,39.6,25.82,100,0,1
2014-2015,Crystal Palace,Chelsea,1,2,977,1327,45,70,46,31,25.24,27.67,53.15,25.23,0,0,-1
