Team,Wins,Draws,Losses,Total Matches,Win Percentage,Draw Percentage,Loss Percentage
Coventry City,99,112,143,354,27.97,31.64,40.4
Middlesbrough,165,169,240,574,28.75,29.44,41.81
Leeds United,223,151,208,582,38.32,25.95,35.74
Wimbledon,99,94,123,316,31.33,29.75,38.92
Sheffield Utd,56,57,123,236,23.73,24.15,52.12
Manchester Utd,744,269,215,1228,60.59,21.91,17.51
Crystal Palace,169,151,258,578,29.24,26.12,44.64
Blackburn,262,184,250,696,37.64,26.44,35.92
Arsenal,673,295,260,1228,54.8,24.02,21.17
Norwich City,99,105,188,392,25.26,26.79,47.96
Ipswich Town,57,53,92,202,28.22,26.24,45.54
Aston Villa,392,311,411,1114,35.19,27.92,36.89
Everton,439,341,448,1228,35.75,27.77,36.48
Sheffield Weds,101,89,126,316,31.96,28.16,39.87
Southampton,280,248,396,924,30.3,26.84,42.86
Tottenham,540,293,395,1228,43.97,23.86,32.17
Chelsea,647,304,277,1228,52.69,24.76,22.56
Oldham Athletic,22,23,39,84,26.19,27.38,46.43
Nott'ham Forest,78,79,117,274,28.47,28.83,42.7
Liverpool,652,302,274,1228,53.09,24.59,22.31
Manchester City,529,222,287,1038,50.96,21.39,27.65
QPR,81,65,132,278,29.14,23.38,47.48
Newcastle Utd,419,284,407,1110,37.75,25.59,36.67
Swindon Town,5,15,22,42,11.9,35.71,52.38
West Ham,360,270,442,1072,33.58,25.19,41.23
Leicester City,218,167,265,650,33.54,25.69,40.77
Bolton,149,128,217,494,30.16,25.91,43.93
Sunderland,153,159,296,608,25.16,26.15,48.68
Derby County,68,70,128,266,25.56,26.32,48.12
Barnsley,10,5,23,38,26.32,13.16,60.53
Charlton Ath,93,82,129,304,30.59,26.97,42.43
Bradford City,14,20,42,76,18.42,26.32,55.26
Watford,73,66,165,304,24.01,21.71,54.28
Fulham,190,169,287,646,29.41,26.16,44.43
West Brom,117,139,238,494,23.68,28.14,48.18
Birmingham City,73,82,111,266,27.44,30.83,41.73
Wolves,114,93,173,380,30.0,24.47,45.53
Portsmouth,79,65,122,266,29.7,24.44,45.86
Wigan Athletic,85,76,143,304,27.96,25.0,47.04
Reading,32,23,59,114,28.07,20.18,51.75
Stoke City,116,109,155,380,30.53,28.68,40.79
Hull City,41,48,101,190,21.58,25.26,53.16
Burnley,88,85,169,342,25.73,24.85,49.42
Blackpool,10,9,19,38,26.32,23.68,50.0
Swansea City,82,66,118,266,30.83,24.81,44.36
Cardiff City,17,13,46,76,22.37,17.11,60.53
Bournemouth,80,58,128,266,30.08,21.8,48.12
Huddersfield,12,17,47,76,15.79,22.37,61.84
Brighton,78,85,103,266,29.32,31.95,38.72
Brentford,38,30,46,114,33.33,26.32,40.35
Luton Town,6,8,24,38,15.79,21.05,63.16
